idx,delta,thinkingTime,rot
495,0.1005324,0.03991699,7.794106
496,0.03140545,0.1600342,7.367174
497,0.3918166,1.02002,9.965333
498,0.09424973,0.8599854,11.6567
499,2.209533,0.02001953,11.04652
500,0.1781204,0.4799805,5.010473
501,0.1658818,2.76001,6.158445
502,0.1622305,1.059937,5.339822
503,0.1714162,0.9599609,8.411897
504,0.385106,1.459961,12.94413
505,0.04972142,0.2999268,7.343941
506,0.03676787,1.199951,6.630878
507,0.0703932,2.47998,5.285215
508,0.4556652,0.07995605,7.749744
509,1.115457,0.05993652,5.443682
510,1.115457,0.05993652,5.443682
511,0.1788199,1.26001,14.63741
512,0.3629793,1.339966,12.57617
513,0.2472394,2.459961,11.80676
514,0.2289835,2.799927,13.1587
515,3.619071,0.02001953,11.16388
516,0.4335887,0.09997559,12.30322
517,0.1664835,0.7399902,6.682412
518,0.3895736,1.5,9.362834
519,0.209668,2.559937,11.6994
520,0.2033797,1.039917,9.598497
521,0.2018278,0.9799805,8.167019
522,0.4507947,1.079956,13.3572
523,0.165362,1.119995,7.488759
524,0.3700171,0.9399414,12.3792
525,0.2084201,2.699951,9.897412
526,0.2312423,2.679932,14.28747
527,0.1779553,1.299927,7.149083
528,0.2236221,1.040039,6.621637
529,0.4905787,0.8399658,9.500454
530,0.05555832,1.339966,7.62138
531,0.4022287,0.6999512,14.72987
532,0.03486764,2.820068,12.27411
533,0.2984847,1.5,14.40493
534,0.1374529,4.460083,7.342111
535,0.1835863,0.7399902,10.12456
536,0.2127792,3.080078,9.786929
537,0.3547249,0.8400879,12.59427
538,0.3529363,3.359985,14.87664
539,0.02549011,2.5,5.616051
540,0.1495183,2.800049,13.32959
541,0.05765843,2.679932,8.501981
542,0.3626134,1.079956,8.280466
543,0.1248777,1.5,8.632328
544,0.2161977,0.6600342,10.88224
545,0.3136532,1.440063,11.78675
546,0.2346409,0.6600342,10.92513
547,4.45543,0.02001953,9.121837
548,0.547121,0.09997559,10.30583
549,0.1804746,0.5600586,13.38507
550,0.3665299,1.619995,11.67548
551,0.05966699,2.579956,8.329098
552,0.09653246,2.459961,13.13454
553,0.2015871,3.059937,6.482465
554,0.3752109,1.079956,11.16471
555,0.0905453,2.700073,8.85706
556,0.2192271,2.799927,14.64435
557,0.2484284,1.359985,11.1827
558,0.0774436,1.26001,7.660959
559,0.3605324,0.9199219,12.3891
560,0.3182269,2.5,12.94014
561,0.07626754,2.5,13.06426
562,0.1587605,1.059937,8.784095
563,0.02984631,5.26001,8.225115
564,0.01780388,0.6799316,6.830586
565,0.2193912,2.680054,10.55949
566,0.08596444,7.960083,6.10387
567,0.2458216,3.380005,8.620436
568,0.06947827,2.380005,13.39679
569,0.363595,1.599976,8.053837
570,0.2783474,2.560059,13.14099
571,0.2272139,2.800049,9.765713
572,0.04111415,2.599976,10.4628
573,0.1302552,2.660034,7.576929
574,0.0183247,1.200073,7.589082
575,0.3084867,3.219971,10.46888
576,2.123988,0.05993652,6.0908
577,0.998915,0.05993652,13.35696
578,0.1380759,0.5800781,7.498564
579,0.4368235,1.140015,13.3671
580,0.006906599,2.800049,6.460733
581,0.1968894,2.73999,6.332016
582,0.2607421,2.380005,13.87517
583,0.3633112,1.579956,12.48453
584,0.2747644,0.960083,5.245881
585,0.2650073,1.23999,11.99805
586,0.1302538,2.800049,13.05781
587,0.04647022,2.47998,11.16493
588,0.3844007,1.23999,12.79547
589,0.312741,2.959961,14.20025
590,0.2537058,2.619995,14.06511
591,0.3488055,1.420044,13.14549
592,0.05400392,0.539917,5.059132
593,0.3404054,1.679932,13.75316
594,0.04555249,0.8399658,8.90724
595,0.3546782,0.6400146,12.49062
596,0.03920531,11.38,6.593695
597,0.9591154,0.09997559,10.24567
598,1.070334,0.02001953,9.09305
599,0.222821,1.800049,13.60746
600,0.1071211,1.459961,9.665922
601,0.05125362,0.2999268,10.64114
602,0.3928235,1.579956,12.13205
603,0.1462456,1.320068,6.810035
604,0.3150394,0.8800049,13.33679
605,0.1640832,2.579956,12.01582
606,0.005521238,2.579956,12.43254
607,0.3742243,1.280029,14.18567
608,0.3012999,2.97998,14.59449
609,0.248033,2.779907,14.84186
610,0.2489025,1.400024,10.55384
611,0.916736,0.04003906,14.82943
612,0.07924527,5.319946,5.80335
613,0.128166,2.719971,11.63047
614,0.1561155,1.23999,7.849381
615,0.1250861,0.9200439,9.573483
616,0.3274258,0.9799805,13.07222
617,0.1565346,3,9.017867
618,0.06086862,2.699951,10.65755
619,0.4893638,1.180054,14.39777
620,0.4577119,3.02002,10.23462
621,0.1084659,2.840088,8.319072
622,0.09379911,2.339966,10.17195
623,0.303813,1.399902,11.12628
624,0.07993138,5.839966,9.706551
625,0.06448692,3.180054,9.136666
626,0.160571,0.9200439,5.029593
627,2.027693,0.04003906,10.97289
628,0.4011983,2.400024,13.94367
629,0.2530906,2.400024,12.55214
630,0.1626096,2.679932,5.753884
631,0.5113565,4.959961,14.26688
632,0.05296212,2.859985,12.58678
633,0.08788532,2.640015,7.651158
634,0.3496625,1.140015,10.31423
635,0.1369806,0.9799805,6.241968
636,0.4342355,1.200073,9.749529
637,0.007107139,2.439941,6.721671
