idx,delta,thinkingTime,rot
543,1.582104,0.02001953,7.687128
544,0.9268683,0.3199463,6.184308
545,0.01745081,2.940063,5.588801
546,0.3323849,1.320068,6.409008
547,0.4262782,3.459961,5.20544
548,0.2987142,7.579956,7.285985
549,2.167065,3.640015,9.69905
550,0.4462157,3.180054,13.67745
551,0.07911378,0.8199463,11.4534
552,1.98358,1.440063,10.95828
553,1.74759,3.339966,11.83237
554,0.1595961,0.02001953,5.029913
555,0.3648597,2.599976,11.44783
556,0.5042289,0.7399902,8.972085
557,0.7003832,1.5,5.0882
558,2.11949,3.819946,10.26802
559,0.04204649,3.400024,14.64204
560,0.2798816,0.3599854,14.1897
561,0.6954929,1.700073,8.304562
562,0.05765492,7.860107,9.822883
563,0.7297451,0.6999512,9.394691
564,0.8447676,0.02001953,14.29562
565,1.871352,0.7199707,14.03707
566,2.09749,3.400024,11.75604
567,0.1250464,3.360107,9.419034
568,0.191344,0.4000244,8.121397
569,0.995019,0.02001953,11.70712
570,0.9665283,0.8800049,5.801928
571,0.02325749,4.719971,5.749447
572,0.01914096,2.419922,10.74274
573,0.4317853,0.7800293,8.451378
574,0.3284428,0.01989746,9.950583
575,0.4644273,0.9599609,5.944064
576,0.481847,4.899902,12.12357
577,1.621639,0.01989746,12.6543
578,0.1664689,1.579956,13.3824
579,1.135871,0.4000244,11.55426
580,1.135871,0.4000244,11.55426
581,0.587701,1.47998,10.66627
582,1.082332,0.7600098,12.48969
583,0.2883658,3.220093,8.855575
584,0.4268978,2.719971,12.95698
585,0.5859489,1.059937,6.283192
586,1.541114,0.7800293,11.53418
587,0.2133,5.359985,14.42906
588,1.218138,3.160034,8.200517
589,1.003662,0.02001953,13.06602
590,0.9365691,0.5600586,12.98497
591,2.221682,9.559937,7.908236
592,0.494406,1.080078,7.315029
593,1.909639,9.660034,5.928096
594,0.4849417,1.140015,11.38714
595,0.4851455,4.440063,6.360664
596,0.7979368,0.02001953,11.86282
597,1.455346,3.299927,9.486147
598,0.5981323,0.02001953,8.649857
599,0.03566813,0.9000244,6.811976
600,0.904978,4.540039,9.562205
601,0.7940195,2.719971,13.09227
602,1.703652,0.5,6.462393
603,0.2079693,1.400024,7.938629
604,2.379292,1.880005,11.1665
605,2.353702,0,8.202769
606,0.5852353,0.02001953,9.954132
607,0.3800946,1.040039,7.146324
608,1.859742,1.440063,12.5101
609,1.517885,3.299927,6.458578
610,0.03466058,0.02001953,7.071851
611,0.8807538,0.6999512,6.779239
612,0.5011015,0.8000488,9.101985
613,0.470144,1,13.54122
614,0.6090973,1.639893,6.555557
615,0.6141298,7.699951,10.55623
616,0.2031714,1.379883,5.221481
617,1.552497,1.02002,7.007987
618,1.552497,1.02002,7.007987
619,0.3592984,7.899902,10.0178
620,0.3762981,0.7998047,13.53826
621,2.185275,0.02001953,13.65024
622,1.936874,0.420166,9.523095
623,2.454561,3.73999,12.42552
624,0.241807,3.360107,10.06952
625,0.1215513,0.9799805,9.766418
626,0.7777026,1.120117,7.181092
627,0.1104195,7.880127,9.333676
628,0.2809075,1.280029,6.149177
629,0.971037,1.040039,5.282027
630,0.8981474,9.639893,6.185451
631,0.835614,1.659912,13.32868
632,1.080237,9.360107,6.943174
633,1.015099,1.319824,11.92686
634,0.1513909,8.02002,9.397162
635,0.2653586,1.02002,12.08475
636,0.7018093,1.100098,7.235765
637,1.138719,3.900146,5.530054
638,0.1108599,0.7199707,12.00659
639,0.8947911,3.060059,5.932531
640,1.307706,0.02001953,7.233643
641,1.021869,0.8200684,13.85958
642,0.6482012,1.119873,11.95493
643,0.02265424,2.919922,6.159956
644,0.3814206,2.700195,12.59105
645,1.867321,0.2797852,11.77281
646,0.5477495,0.02001953,7.719019
647,0.9304256,0.6799316,13.38961
648,1.359552,0.8200684,14.65557
649,1.359552,0.8200684,14.65557
650,2.061896,1.800049,13.21434
651,1.909441,4.76001,8.674848
652,0.6488217,1.23999,10.30732
653,0.2434556,4.719971,5.31127
654,1.174687,3.820068,7.37769
655,0.02674863,1.419922,6.115334
656,0.55834,4.5,6.948619
657,0.8496658,0.01977539,5.164088
658,1.32411,3.219971,10.68745
659,0.1440215,1.47998,8.730099
660,0.5334209,4.52002,5.867994
661,0.7013569,2.780029,13.11675
662,1.287679,0.4799805,6.16095
663,0.4321988,1.340088,11.47327
664,1.070804,1.140137,9.497774
665,0.9353541,2.800049,8.823157
666,2.163952,3.860107,10.9738
667,0.2688659,1.340088,9.722808
668,0.9926157,0.8198242,9.985863
669,0.359814,3.359863,5.754352
670,2.588752,0.02001953,13.60988
671,1.724131,2.540039,13.80601
672,0.1181451,0.02001953,8.7948
673,0.2237211,0.8598633,8.057684
674,1.245145,2.97998,10.72907
675,0.932945,0.6999512,7.929805
676,0.8638495,0.02001953,6.619874
677,0.9008805,3.100098,7.293261
678,0.9541171,0.04003906,6.622515
679,0.7328622,1.100098,12.61618
680,0.09041905,17.68018,6.592169
681,2.780851,3.459961,12.97027
682,0.2442124,0.02001953,10.56833
683,0.6751715,0.6401367,8.149574
684,1.026997,0.6999512,13.33887
685,0.4668863,1.439941,10.49225
686,1.004949,9.800049,14.39304
687,0.56421,1.23999,13.96916
688,1.616487,1.380127,9.512623
689,1.81122,3.679932,6.24052
690,1.576578,1.300049,11.75504
691,1.576578,1.300049,11.75504
692,0.5125858,0.8200684,9.445703
693,0.2689812,0.6599121,11.86277
694,0.4270035,1.900146,13.75435
695,1.940318,3.26001,12.62899
696,0.2318397,0.01977539,5.917574
697,0.9975197,0.8999023,5.184373
698,0.1144545,2.679932,7.107274
699,1.468452,1.199951,7.373426
700,1.114314,3.52002,5.025846
701,0.2630669,0.02001953,5.331134
702,1.436084,0.880127,5.269846
703,1.436084,0.880127,5.269846
704,0.3146226,0.7600098,9.335509
705,1.375534,0.8601074,10.30042
