Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,0.710,4701.090,11.907,10248,0.967
SaverLearning,0.702,4714.435,11.875,10245,0.967
SaverLearning,0.715,4727.609,11.697,10250,0.968
SaverLearning,0.701,4740.759,11.687,10244,0.968
SaverLearning,0.707,4753.863,11.632,10243,0.968
SaverLearning,0.690,4767.179,11.862,10248,0.968
SaverLearning,0.704,4780.491,11.843,10243,0.968
SaverLearning,0.707,4793.882,11.906,10249,0.968
SaverLearning,0.699,4806.999,11.655,10241,0.968
SaverLearning,0.712,4820.094,11.634,10245,0.968
SaverLearning,0.697,4833.443,11.894,10247,0.968
SaverLearning,0.702,4846.845,11.941,10248,0.968
SaverLearning,0.761,4860.129,11.747,10244,0.968
SaverLearning,0.729,4873.306,11.665,10251,0.969
SaverLearning,0.705,4886.604,11.826,10241,0.969
SaverLearning,0.702,4899.992,11.915,10242,0.969
SaverLearning,0.703,4913.293,11.815,10251,0.969
SaverLearning,0.707,4926.459,11.687,10249,0.969
SaverLearning,0.695,4939.676,11.760,10254,0.969
SaverLearning,0.702,4952.622,11.487,10250,0.969
SaverLearning,0.704,4965.560,11.471,10241,0.969
SaverLearning,0.715,4978.713,11.654,10258,0.969
SaverLearning,0.693,4991.911,11.717,10241,0.969
SaverLearning,0.694,5005.058,11.677,10254,0.969
SaverLearning,0.707,5018.036,11.509,10245,0.969
SaverLearning,0.707,5031.245,11.722,10255,0.970
SaverLearning,0.699,5044.710,11.980,10246,0.970
SaverLearning,0.729,5058.165,11.935,10241,0.970
SaverLearning,0.701,5071.571,11.946,10245,0.970
SaverLearning,0.712,5085.053,11.981,10246,0.970
SaverLearning,0.706,5098.598,12.047,10244,0.970
SaverLearning,0.702,5112.009,11.923,10252,0.970
SaverLearning,0.704,5125.323,11.829,10244,0.970
SaverLearning,0.700,5138.752,11.950,10244,0.970
SaverLearning,0.714,5152.195,11.949,10250,0.970
SaverLearning,0.701,5165.294,11.624,10253,0.970
SaverLearning,0.731,5178.769,11.961,10248,0.970
SaverLearning,0.709,5191.903,11.647,10250,0.970
SaverLearning,0.723,5205.237,11.824,10247,0.971
SaverLearning,0.702,5218.388,11.678,10241,0.971
SaverLearning,0.703,5231.975,11.985,10244,0.971
SaverLearning,0.705,5245.508,12.036,10250,0.971
SaverLearning,0.707,5258.744,11.744,10241,0.971
SaverLearning,0.724,5272.382,12.122,10245,0.971
SaverLearning,0.746,5285.684,11.808,10245,0.971
SaverLearning,0.701,5298.926,11.784,10247,0.971
SaverLearning,0.693,5312.335,11.964,10244,0.971
SaverLearning,0.697,5325.795,12.004,10241,0.971
SaverLearning,0.727,5339.222,11.896,10255,0.971
SaverLearning,0.711,5352.614,11.883,10253,0.971
SaverLearning,0.783,5366.151,11.967,10248,0.971
SaverLearning,0.719,5379.532,11.845,10246,0.971
SaverLearning,0.723,5392.684,11.662,10250,0.972
SaverLearning,0.697,5406.393,12.215,10241,0.972
SaverLearning,0.697,5419.780,11.925,10245,0.972
SaverLearning,0.729,5433.335,12.059,10246,0.972
SaverLearning,0.697,5446.940,12.137,10251,0.972
SaverLearning,0.706,5460.428,11.994,10241,0.972
SaverLearning,0.704,5474.417,12.476,10261,0.972
SaverLearning,0.699,5488.588,12.653,10249,0.972
SaverLearning,0.703,5502.253,12.171,10245,0.972
SaverLearning,0.704,5515.900,12.155,10245,0.972
SaverLearning,0.716,5529.425,12.030,10253,0.972
SaverLearning,0.701,5542.620,11.728,10241,0.972
SaverLearning,0.701,5555.815,11.711,10245,0.972
SaverLearning,0.706,5569.600,12.287,10245,0.972
SaverLearning,0.711,5582.974,11.873,10248,0.972
