Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,3.080,1632.221,1.797,162,0.780
SaverLearning,3.096,1637.082,1.692,163,0.780
SaverLearning,3.084,1642.087,1.842,161,0.781
SaverLearning,2.984,1647.373,2.204,162,0.781
SaverLearning,3.068,1652.103,1.589,161,0.781
SaverLearning,3.075,1657.043,1.781,162,0.781
SaverLearning,2.986,1661.783,1.673,164,0.782
SaverLearning,2.961,1666.404,1.589,161,0.782
SaverLearning,3.035,1671.397,1.873,161,0.783
SaverLearning,3.067,1675.964,1.434,162,0.783
SaverLearning,3.044,1680.886,1.801,161,0.783
SaverLearning,3.057,1685.600,1.587,162,0.783
SaverLearning,3.024,1690.597,1.888,162,0.784
SaverLearning,3.086,1695.964,2.186,161,0.784
SaverLearning,3.070,1700.733,1.627,162,0.784
SaverLearning,3.040,1705.500,1.654,162,0.785
SaverLearning,3.056,1710.436,1.797,163,0.785
SaverLearning,3.090,1715.288,1.685,162,0.785
SaverLearning,3.035,1720.084,1.689,163,0.785
SaverLearning,3.014,1724.987,1.809,161,0.786
SaverLearning,3.081,1729.971,1.826,161,0.786
SaverLearning,3.052,1734.731,1.638,161,0.787
SaverLearning,2.996,1739.410,1.614,161,0.787
SaverLearning,3.046,1743.970,1.452,161,0.787
SaverLearning,3.046,1748.765,1.670,162,0.787
SaverLearning,3.023,1753.537,1.673,161,0.788
SaverLearning,3.015,1758.260,1.630,163,0.788
SaverLearning,3.035,1763.293,1.908,161,0.788
SaverLearning,2.935,1767.956,1.658,162,0.789
SaverLearning,3.086,1772.996,1.871,162,0.789
SaverLearning,3.025,1777.820,1.724,161,0.789
SaverLearning,3.058,1782.605,1.653,161,0.790
SaverLearning,2.992,1787.711,2.019,161,0.790
SaverLearning,3.101,1792.585,1.693,163,0.790
SaverLearning,3.031,1797.393,1.697,162,0.790
SaverLearning,3.072,1802.151,1.613,161,0.790
SaverLearning,3.055,1806.763,1.491,163,0.791
SaverLearning,2.993,1811.651,1.809,163,0.791
SaverLearning,2.979,1816.500,1.789,162,0.791
SaverLearning,3.051,1821.589,1.951,162,0.792
SaverLearning,2.988,1826.236,1.593,161,0.792
SaverLearning,3.106,1831.497,2.063,162,0.792
SaverLearning,3.108,1836.387,1.706,161,0.792
SaverLearning,3.040,1841.307,1.802,161,0.793
SaverLearning,2.991,1846.134,1.757,162,0.793
SaverLearning,3.042,1850.854,1.609,163,0.793
SaverLearning,3.000,1855.803,1.861,161,0.793
SaverLearning,3.064,1860.736,1.796,162,0.794
SaverLearning,3.024,1865.530,1.697,161,0.794
SaverLearning,3.025,1870.211,1.588,161,0.794
SaverLearning,3.104,1875.145,1.754,161,0.795
SaverLearning,3.014,1879.938,1.704,161,0.795
SaverLearning,3.077,1884.954,1.858,161,0.795
SaverLearning,3.047,1889.851,1.769,163,0.795
SaverLearning,3.019,1894.672,1.718,161,0.795
SaverLearning,3.042,1899.373,1.585,162,0.795
SaverLearning,3.069,1904.155,1.635,161,0.796
SaverLearning,2.997,1908.696,1.479,161,0.796
SaverLearning,2.997,1913.200,1.445,161,0.796
SaverLearning,3.031,1917.788,1.491,161,0.797
SaverLearning,3.071,1922.464,1.533,162,0.797
SaverLearning,3.040,1927.127,1.554,162,0.797
SaverLearning,3.061,1931.910,1.649,162,0.798
SaverLearning,3.028,1936.657,1.645,162,0.798
SaverLearning,3.012,1941.114,1.382,162,0.798
SaverLearning,3.016,1945.682,1.483,162,0.798
SaverLearning,3.101,1950.477,1.618,161,0.799
SaverLearning,3.087,1955.202,1.572,162,0.799
SaverLearning,3.054,1959.851,1.530,162,0.799
SaverLearning,3.015,1964.281,1.356,161,0.800
SaverLearning,2.998,1968.601,1.269,161,0.800
SaverLearning,3.016,1973.302,1.611,162,0.800
SaverLearning,3.027,1977.693,1.307,161,0.800
SaverLearning,3.008,1982.267,1.498,161,0.801
SaverLearning,2.996,1986.864,1.531,162,0.801
SaverLearning,3.059,1991.580,1.586,162,0.801
SaverLearning,3.073,1996.435,1.706,162,0.802
SaverLearning,3.045,2001.278,1.720,162,0.802
SaverLearning,3.036,2005.987,1.596,162,0.802
SaverLearning,3.037,2010.594,1.505,163,0.802
SaverLearning,3.032,2015.269,1.575,161,0.803
SaverLearning,3.018,2019.887,1.534,162,0.803
SaverLearning,3.057,2024.473,1.464,163,0.803
SaverLearning,3.126,2028.940,1.285,162,0.804
SaverLearning,3.019,2033.590,1.560,163,0.804
SaverLearning,3.010,2038.110,1.451,161,0.804
SaverLearning,3.076,2042.873,1.613,162,0.804
SaverLearning,3.074,2047.431,1.417,163,0.805
SaverLearning,3.078,2051.901,1.331,165,0.805
SaverLearning,3.058,2056.759,1.720,162,0.805
SaverLearning,3.080,2061.567,1.654,164,0.805
SaverLearning,3.087,2066.265,1.546,162,0.806
SaverLearning,3.050,2070.948,1.566,161,0.806
SaverLearning,3.025,2075.676,1.631,161,0.806
SaverLearning,3.024,2080.250,1.484,162,0.806
SaverLearning,3.038,2084.989,1.623,163,0.806
SaverLearning,3.087,2089.897,1.743,161,0.807
SaverLearning,3.050,2094.405,1.394,162,0.807
SaverLearning,3.034,2099.109,1.600,161,0.807
SaverLearning,3.057,2103.818,1.582,162,0.807
SaverLearning,3.013,2108.411,1.512,161,0.808
SaverLearning,3.020,2113.252,1.746,161,0.808
SaverLearning,3.026,2117.948,1.598,162,0.808
SaverLearning,3.066,2122.807,1.720,161,0.808
SaverLearning,3.069,2127.299,1.361,161,0.808
SaverLearning,3.077,2131.906,1.467,161,0.809
